iter	Passed	Remaining
0	52	10416
1	54	5427
2	56	3695
3	57	2824
4	59	2306
5	60	1964
6	62	1719
7	63	1531
8	65	1385
9	66	1267
10	68	1171
11	69	1095
12	71	1024
13	73	975
14	74	920
15	75	872
16	77	831
17	78	794
18	79	761
19	81	732
20	82	706
21	84	680
22	85	659
23	86	637
24	88	618
25	89	598
26	90	581
27	92	566
28	93	552
29	94	538
30	96	524
31	97	512
32	98	499
33	99	488
34	101	477
35	102	467
36	103	456
37	104	446
38	108	447
39	112	450
40	114	444
41	116	437
42	117	430
43	119	423
44	121	417
45	122	410
46	123	403
47	125	396
48	126	389
49	127	383
50	129	377
51	130	371
52	132	366
53	133	361
54	135	356
55	136	351
56	137	346
57	139	341
58	140	335
59	141	330
60	143	326
61	144	321
62	146	317
63	147	313
64	160	333
65	164	333
66	165	328
67	169	328
68	171	325
69	173	321
70	174	316
71	175	312
72	177	308
73	181	308
74	184	306
75	186	304
76	189	301
77	190	298
78	201	308
79	204	307
80	206	303
81	207	299
82	209	295
83	212	293
84	214	289
85	215	285
86	217	282
87	218	278
88	219	274
89	221	270
90	222	266
91	223	262
92	225	258
93	226	255
94	228	252
95	229	248
96	231	245
97	232	242
98	233	238
99	236	236
100	237	233
101	239	230
102	241	227
103	242	224
104	244	221
105	247	219
106	253	220
107	255	218
108	264	220
109	265	217
110	267	214
111	270	212
112	274	211
113	276	208
114	278	205
115	280	202
116	283	200
117	284	197
118	286	194
119	287	191
120	289	188
121	292	186
122	293	184
123	295	181
124	296	178
125	298	175
126	300	172
127	302	170
128	304	167
129	305	164
130	306	161
131	308	158
132	309	156
133	311	153
134	312	150
135	314	147
136	315	145
137	316	142
138	318	139
139	319	137
140	321	134
141	323	132
142	335	133
143	337	131
144	340	129
145	341	126
146	343	123
147	344	121
148	346	118
149	347	115
150	348	113
151	351	110
152	352	108
153	354	105
154	355	103
155	356	100
156	358	98
157	360	95
158	361	93
159	363	90
160	370	89
161	371	87
162	373	84
163	374	82
164	376	79
165	379	77
166	386	76
167	388	74
168	390	71
169	392	69
170	393	66
171	395	64
172	396	61
173	398	59
174	399	57
175	400	54
176	402	52
177	403	49
178	405	47
179	406	45
180	407	42
181	409	40
182	410	38
183	411	35
184	412	33
185	414	31
186	415	28
187	417	26
188	422	24
189	426	22
190	429	20
191	433	18
192	436	15
193	438	13
194	439	11
195	441	9
196	442	6
197	444	4
198	446	2
199	448	0
